network,audience,segment,share_percent
ТС5,гости,Молодёжь,34
ТС5,гости,Взрослые с вредными привычками,12
ТС5,гости,Взрослые с детьми до 3 лет,15
ТС5,гости,Зрелые,19
ТС5,гости,Старшие,21
ТС5,пользователи МП,Молодёжь,37
ТС5,пользователи МП,Взрослые с вредными привычками,5
ТС5,пользователи МП,Взрослые с детьми до 3 лет,26
ТС5,пользователи МП,Зрелые,21
ТС5,пользователи МП,Старшие,11
ТСХ,гости,Молодёжь,40
ТСХ,гости,Взрослые с вредными привычками,8
ТСХ,гости,Взрослые с детьми до 3 лет,18
ТСХ,гости,Зрелые,23
ТСХ,гости,Старшие,12
ТСХ,пользователи МП,Молодёжь,31
ТСХ,пользователи МП,Взрослые с вредными привычками,3
ТСХ,пользователи МП,Взрослые с детьми до 3 лет,26
ТСХ,пользователи МП,Зрелые,32
ТСХ,пользователи МП,Старшие,9
ТСЧ,гости,Молодёжь,29
ТСЧ,гости,Взрослые с вредными привычками,9
ТСЧ,гости,Взрослые с детьми до 3 лет,18
ТСЧ,гости,Зрелые,21
ТСЧ,гости,Старшие,23
ТСЧ,пользователи МП,Молодёжь,27
ТСЧ,пользователи МП,Взрослые с вредными привычками,4
ТСЧ,пользователи МП,Взрослые с детьми до 3 лет,28
ТСЧ,пользователи МП,Зрелые,24
ТСЧ,пользователи МП,Старшие,18
