"dimension","category","value","unit","denominator","reference_date","status","source_key","note"
"population","russia_total","146119928","persons","resident_population","2025-01-01","official","ROSSTAT_POP_2025","Total resident population"
"settlement","urban","75.2","percent","resident_population","2025-01-01","official","ROSSTAT_POP_2025","Use detailed conditional weights from 2024 when sampling by age"
"settlement","rural","24.8","percent","resident_population","2025-01-01","official","ROSSTAT_POP_2025","Use detailed conditional weights from 2024 when sampling by age"
"sex","male","46.5","percent","resident_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Rounded share"
"sex","female","53.5","percent","resident_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Rounded share"
"adult_population","age_18_plus","116191792","persons","resident_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","79.501 percent of total population"
"adult_age_band","18_24","8.990","percent","population_age_18_plus","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Count 10446124"
"adult_age_band","25_34","15.057","percent","population_age_18_plus","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Count 17495547"
"adult_age_band","35_44","21.112","percent","population_age_18_plus","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Count 24530300"
"adult_age_band","45_54","17.104","percent","population_age_18_plus","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Count 19873446"
"adult_age_band","55_64","16.225","percent","population_age_18_plus","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Count 18852123"
"adult_age_band","65_plus","21.511","percent","population_age_18_plus","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Count 24994252"
"male_share_within_age","18_24","51.564","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"male_share_within_age","25_34","50.136","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"male_share_within_age","35_44","48.818","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"male_share_within_age","45_54","47.246","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"male_share_within_age","55_64","43.898","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"male_share_within_age","65_plus","34.852","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"urban_share_within_age","18_24","75.034","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"urban_share_within_age","25_34","76.484","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"urban_share_within_age","35_44","77.638","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"urban_share_within_age","45_54","75.438","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"urban_share_within_age","55_64","71.691","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"urban_share_within_age","65_plus","74.551","percent","age_band_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Conditional sampling prior"
"federal_district","central","27.505","percent","resident_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Population weight not X5 customer weight"
"federal_district","northwestern","9.470","percent","resident_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Population weight not X5 customer weight"
"federal_district","southern","11.375","percent","resident_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Population weight not X5 customer weight"
"federal_district","north_caucasian","7.014","percent","resident_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Population weight not X5 customer weight"
"federal_district","volga","19.528","percent","resident_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Population weight not X5 customer weight"
"federal_district","ural","8.390","percent","resident_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Population weight not X5 customer weight"
"federal_district","siberian","11.336","percent","resident_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Population weight not X5 customer weight"
"federal_district","far_eastern","5.382","percent","resident_population","2024-01-01","derived_from_official_counts","ROSSTAT_AGE_2024","Population weight not X5 customer weight"
"household","private_households_total","66061419","households","private_households","2020_census","official","ROSSTAT_CENSUS_2020_T8","Average household size 2.2"
"household","one_person","41.82","percent","private_households","2020_census","derived_from_official_counts","ROSSTAT_CENSUS_2020_T8","Count 27629392"
"household","with_children_under_18","23.06","percent","private_households","2020_census","derived_from_official_counts","ROSSTAT_CENSUS_2020_T8","Count 15231213"
"child_count_among_households_with_children","one_child","55.16","percent","households_with_children_under_18","2020_census","derived_from_official_counts","ROSSTAT_CENSUS_2020_T8","Count 8402176"
"child_count_among_households_with_children","two_children","33.10","percent","households_with_children_under_18","2020_census","derived_from_official_counts","ROSSTAT_CENSUS_2020_T8","Count 5040970"
"child_count_among_households_with_children","three_or_more","11.74","percent","households_with_children_under_18","2020_census","derived_from_official_counts","ROSSTAT_CENSUS_2020_T8","Count 1788067"
"family_cell","with_child_under_3","8.20","percent","all_family_cells","2020_census","derived_from_official_counts","ROSSTAT_CENSUS_2020_T8","Do not use as a direct person or app-user probability"
"family_cell","with_child_under_3_among_cells_with_children","18.72","percent","family_cells_with_children_under_18","2020_census","derived_from_official_counts","ROSSTAT_CENSUS_2020_T8","Do not use as a direct person or app-user probability"
"digital_age_share","18_24","8.45","percent","weighted_adults_18_plus","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Survey weighted with VESA_SVOD"
"digital_age_share","25_34","15.15","percent","weighted_adults_18_plus","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Survey weighted with VESA_SVOD"
"digital_age_share","35_44","21.24","percent","weighted_adults_18_plus","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Survey weighted with VESA_SVOD"
"digital_age_share","45_54","17.21","percent","weighted_adults_18_plus","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Survey weighted with VESA_SVOD"
"digital_age_share","55_64","16.32","percent","weighted_adults_18_plus","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Survey weighted with VESA_SVOD"
"digital_age_share","65_74","13.88","percent","weighted_adults_18_plus","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Survey weighted with VESA_SVOD"
"digital_age_share","75_plus","7.76","percent","weighted_adults_18_plus","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Survey weighted with VESA_SVOD"
"mobile_use_3m_by_age","18_24","99.50","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Mobile phone or smartphone use in prior 3 months"
"mobile_use_3m_by_age","25_34","99.71","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Mobile phone or smartphone use in prior 3 months"
"mobile_use_3m_by_age","35_44","99.60","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Mobile phone or smartphone use in prior 3 months"
"mobile_use_3m_by_age","45_54","99.58","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Mobile phone or smartphone use in prior 3 months"
"mobile_use_3m_by_age","55_64","99.02","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Mobile phone or smartphone use in prior 3 months"
"mobile_use_3m_by_age","65_74","96.27","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Mobile phone or smartphone use in prior 3 months"
"mobile_use_3m_by_age","75_plus","79.61","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Mobile phone or smartphone use in prior 3 months"
"internet_use_3m_by_age","18_24","98.93","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Internet use in prior 3 months"
"internet_use_3m_by_age","25_34","99.31","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Internet use in prior 3 months"
"internet_use_3m_by_age","35_44","99.17","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Internet use in prior 3 months"
"internet_use_3m_by_age","45_54","98.55","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Internet use in prior 3 months"
