n_users,table,column,sample_inferred_dtype
1000,products.csv,sku,object
1000,products.csv,category,object
1000,products.csv,brand,object
1000,products.csv,reference_price_rub,float64
1000,challenge_decisions.csv,challenge_id,object
1000,challenge_decisions.csv,user_id,object
1000,challenge_decisions.csv,decision_ts,object
1000,challenge_decisions.csv,accepted,int64
1000,challenge_decisions.csv,policy_version,object
1000,challenge_decisions.csv,explanation,object
1000,weekly_outcomes.csv,user_id,object
1000,weekly_outcomes.csv,week_index,int64
1000,weekly_outcomes.csv,week_start,object
1000,weekly_outcomes.csv,assignment,object
1000,weekly_outcomes.csv,yard_id,float64
1000,weekly_outcomes.csv,y0_visits,int64
1000,weekly_outcomes.csv,y1_visits,int64
1000,weekly_outcomes.csv,observed_visits,int64
1000,weekly_outcomes.csv,latent_effect_rate,float64
1000,weekly_outcomes.csv,latent_opt_in,int64
1000,households.csv,household_id,object
1000,households.csv,user_id,object
1000,households.csv,household_size,int64
1000,households.csv,has_child_under_18,int64
1000,households.csv,has_child_under_3,int64
1000,households.csv,generation_simplification,object
1000,fraud_features.csv,user_id,object
1000,fraud_features.csv,invite_count,int64
1000,fraud_features.csv,invite_velocity_2w,float64
1000,fraud_features.csv,empty_invitee_rate,float64
1000,fraud_features.csv,mutual_edge_density,float64
1000,fraud_features.csv,receipt_similarity,float64
1000,fraud_features.csv,fraud_score,float64
1000,fraud_features.csv,reason_codes,float64
1000,referral_events.csv,referral_event_id,object
1000,referral_events.csv,inviter_user_id,object
1000,referral_events.csv,invitee_user_id,object
1000,referral_events.csv,yard_id,object
1000,referral_events.csv,created_ts,object
1000,referral_events.csv,qualified_ts,object
1000,referral_events.csv,status,object
1000,reward_ledger.csv,ledger_id,object
1000,reward_ledger.csv,reward_id,object
1000,reward_ledger.csv,user_id,object
1000,reward_ledger.csv,event_ts,object
1000,reward_ledger.csv,event_type,object
1000,reward_ledger.csv,amount_delta_rub,float64
1000,reward_ledger.csv,status_after,object
1000,experiment_assignments.csv,user_id,object
1000,experiment_assignments.csv,assignment,object
1000,experiment_assignments.csv,yard_id,float64
1000,experiment_assignments.csv,assignment_ts,object
1000,experiment_assignments.csv,treatment_start_ts,object
1000,yards.csv,yard_id,object
1000,yards.csv,store_id,object
1000,yards.csv,member_count,int64
1000,yards.csv,mean_baseline_visits_week,float64
1000,yards.csv,max_min_frequency_ratio,float64
1000,yards.csv,assignment,object
1000,stores.csv,store_id,object
1000,stores.csv,federal_district,object
1000,stores.csv,urban,bool
1000,fraud_events_ground_truth.csv,fraud_event_id,object
1000,fraud_events_ground_truth.csv,user_id,object
1000,fraud_events_ground_truth.csv,scenario_type,object
1000,fraud_events_ground_truth.csv,is_fraud_ground_truth,int64
1000,fraud_events_ground_truth.csv,event_ts,object
1000,users.csv,user_id,object
1000,users.csv,age_band,object
1000,users.csv,sex,object
1000,users.csv,urban,int64
1000,users.csv,federal_district,object
1000,users.csv,digital_readiness,float64
1000,users.csv,loyalty_member,int64
1000,users.csv,app_user,int64
1000,users.csv,home_store_id,object
1000,users.csv,archetype,object
1000,users.csv,baseline_visit_rate_week,float64
1000,users.csv,basket_base_rub,float64
1000,users.csv,promo_sensitivity,float64
1000,users.csv,has_child_under_18,int64
1000,users.csv,has_child_under_3,int64
1000,receipts.csv,receipt_id,object
1000,receipts.csv,user_id,object
1000,receipts.csv,store_id,object
1000,receipts.csv,ts,object
1000,receipts.csv,week_index,int64
1000,receipts.csv,assignment,object
1000,receipts.csv,total_paid_rub,float64
1000,receipts.csv,regular_total_rub,float64
1000,receipts.csv,discount_total_rub,float64
1000,receipts.csv,is_returned,bool
1000,receipts.csv,return_amount_rub,float64
1000,receipts.csv,net_sales_rub,float64
1000,receipts.csv,contribution_margin_rate,float64
1000,receipts.csv,contribution_margin_rub,float64
1000,fraud_personas_ground_truth.csv,user_id,object
1000,fraud_personas_ground_truth.csv,fraud_persona_ground_truth,object
1000,items.csv,item_id,object
1000,items.csv,receipt_id,object
1000,items.csv,user_id,object
1000,items.csv,sku,object
1000,items.csv,category,object
1000,items.csv,qty,int64
1000,items.csv,price_regular_rub,float64
1000,items.csv,price_paid_rub,float64
1000,items.csv,discount_rub,float64
1000,items.csv,promo_flag,int64
1000,rewards.csv,reward_id,object
1000,rewards.csv,user_id,object
1000,rewards.csv,challenge_id,object
1000,rewards.csv,yard_id,object
1000,rewards.csv,amount_rub_equivalent,float64
1000,rewards.csv,funded_by,object
1000,rewards.csv,issued_ts,object
1000,rewards.csv,final_status,object
1000,yard_cycles.csv,yard_id,object
1000,yard_cycles.csv,cycle,int64
1000,yard_cycles.csv,start_ts,object
1000,yard_cycles.csv,end_ts,object
1000,yard_cycles.csv,goal_visits,int64
1000,yard_cycles.csv,actual_visits,int64
1000,yard_cycles.csv,total_deficit,int64
1000,yard_cycles.csv,total_surplus,int64
1000,yard_cycles.csv,backup_coef,float64
1000,yard_cycles.csv,completed,int64
1000,challenge_events.csv,challenge_event_id,object
1000,challenge_events.csv,challenge_id,object
1000,challenge_events.csv,user_id,object
1000,challenge_events.csv,event_ts,object
1000,challenge_events.csv,event_type,object
1000,challenge_events.csv,progress_visits,int64
1000,challenge_candidates.csv,challenge_id,object
1000,challenge_candidates.csv,user_id,object
1000,challenge_candidates.csv,yard_id,object
1000,challenge_candidates.csv,cycle,int64
1000,challenge_candidates.csv,start_ts,object
1000,challenge_candidates.csv,end_ts,object
1000,challenge_candidates.csv,challenge_type,object
1000,challenge_candidates.csv,target_visits,int64
1000,challenge_candidates.csv,target_uplift,float64
1000,challenge_candidates.csv,evidence_status,object
1000,memberships.csv,yard_id,object
1000,memberships.csv,user_id,object
10000,products.csv,sku,object
10000,products.csv,category,object
10000,products.csv,brand,object
10000,products.csv,reference_price_rub,float64
10000,challenge_decisions.csv,challenge_id,object
10000,challenge_decisions.csv,user_id,object
10000,challenge_decisions.csv,decision_ts,object
10000,challenge_decisions.csv,accepted,int64
10000,challenge_decisions.csv,policy_version,object
10000,challenge_decisions.csv,explanation,object
10000,weekly_outcomes.csv,user_id,object
10000,weekly_outcomes.csv,week_index,int64
10000,weekly_outcomes.csv,week_start,object
10000,weekly_outcomes.csv,assignment,object
10000,weekly_outcomes.csv,yard_id,object
10000,weekly_outcomes.csv,y0_visits,int64
10000,weekly_outcomes.csv,y1_visits,int64
10000,weekly_outcomes.csv,observed_visits,int64
10000,weekly_outcomes.csv,latent_effect_rate,float64
10000,weekly_outcomes.csv,latent_opt_in,int64
10000,households.csv,household_id,object
10000,households.csv,user_id,object
10000,households.csv,household_size,int64
10000,households.csv,has_child_under_18,int64
10000,households.csv,has_child_under_3,int64
10000,households.csv,generation_simplification,object
10000,fraud_features.csv,user_id,object
10000,fraud_features.csv,invite_count,int64
10000,fraud_features.csv,invite_velocity_2w,float64
10000,fraud_features.csv,empty_invitee_rate,float64
10000,fraud_features.csv,mutual_edge_density,float64
10000,fraud_features.csv,receipt_similarity,float64
10000,fraud_features.csv,fraud_score,float64
10000,fraud_features.csv,reason_codes,float64
10000,referral_events.csv,referral_event_id,object
10000,referral_events.csv,inviter_user_id,object
10000,referral_events.csv,invitee_user_id,object
10000,referral_events.csv,yard_id,object
10000,referral_events.csv,created_ts,object
10000,referral_events.csv,qualified_ts,object
10000,referral_events.csv,status,object
10000,reward_ledger.csv,ledger_id,object
10000,reward_ledger.csv,reward_id,object
10000,reward_ledger.csv,user_id,object
10000,reward_ledger.csv,event_ts,object
10000,reward_ledger.csv,event_type,object
10000,reward_ledger.csv,amount_delta_rub,float64
10000,reward_ledger.csv,status_after,object
10000,experiment_assignments.csv,user_id,object
10000,experiment_assignments.csv,assignment,object
10000,experiment_assignments.csv,yard_id,object
10000,experiment_assignments.csv,assignment_ts,object
10000,experiment_assignments.csv,treatment_start_ts,object
10000,yards.csv,yard_id,object
10000,yards.csv,store_id,object
10000,yards.csv,member_count,int64
10000,yards.csv,mean_baseline_visits_week,float64
10000,yards.csv,max_min_frequency_ratio,float64
