n_users,seed,mean_visits_test_8w,mean_visits_control_8w,estimated_itt_visits,true_att_visits,estimation_error_visits
1000,881000,17.4,17.23,0.16999999999999815,0.924,-0.7540000000000019
1000,881001,18.374,16.504,1.8699999999999974,1.024,0.8459999999999974
1000,881002,17.454,16.536,0.9179999999999993,0.974,-0.056000000000000716
1000,881003,17.514,16.534,0.9800000000000004,1.02,-0.03999999999999959
1000,881004,17.464,16.354,1.1099999999999994,0.964,0.14599999999999946
1000,881005,17.734,16.476,1.2580000000000027,1.1,0.15800000000000258
1000,881006,17.868,16.864,1.0039999999999978,1.092,-0.0880000000000023
1000,881007,17.514,15.96,1.5539999999999985,0.982,0.5719999999999985
1000,881008,18.224,16.23,1.9939999999999998,1.016,0.9779999999999998
1000,881009,17.926,17.12,0.8059999999999974,0.978,-0.1720000000000026
1000,881010,16.462,16.776,-0.31400000000000006,1.012,-1.326
1000,881011,17.3,17.15,0.15000000000000213,1.052,-0.9019999999999979
1000,881012,18.008,16.246,1.7620000000000005,0.982,0.7800000000000005
1000,881013,18.374,16.574,1.7999999999999972,1.074,0.7259999999999971
1000,881014,17.416,17.338,0.0779999999999994,1.024,-0.9460000000000006
1000,881015,18.446,17.232,1.2140000000000022,0.992,0.2220000000000022
1000,881016,17.478,16.242,1.2360000000000007,1.04,0.19600000000000062
1000,881017,18.118,16.278,1.8399999999999999,1.096,0.7439999999999998
1000,881018,18.462,16.698,1.7639999999999993,1.094,0.6699999999999993
1000,881019,18.564,16.47,2.094000000000001,1.044,1.0500000000000012
1000,881020,17.806,17.504,0.3019999999999996,1.06,-0.7580000000000005
1000,881021,17.828,17.198,0.629999999999999,0.988,-0.358000000000001
1000,881022,17.382,16.862,0.5200000000000031,1.036,-0.5159999999999969
1000,881023,17.052,16.254,0.7979999999999983,0.926,-0.12800000000000178
1000,881024,18.682,16.608,2.073999999999998,1.166,0.9079999999999981
1000,881025,17.538,16.816,0.7220000000000013,0.948,-0.22599999999999865
1000,881026,16.984,16.634,0.3500000000000014,0.97,-0.6199999999999986
1000,881027,18.202,17.136,1.0660000000000025,1.026,0.04000000000000248
1000,881028,17.554,16.61,0.9439999999999991,0.982,-0.03800000000000092
1000,881029,18.388,16.34,2.048000000000002,1.106,0.9420000000000017
1000,881030,18.05,16.2,1.8500000000000014,1.022,0.8280000000000014
1000,881031,17.924,16.32,1.6039999999999992,0.942,0.6619999999999993
1000,881032,16.794,16.212,0.5820000000000007,1.008,-0.42599999999999927
1000,881033,17.924,16.712,1.2119999999999997,1.018,0.19399999999999973
1000,881034,18.08,16.502,1.5779999999999994,1.12,0.4579999999999993
1000,881035,17.478,16.792,0.6859999999999999,1.036,-0.3500000000000001
1000,881036,17.462,16.396,1.065999999999999,0.992,0.07399999999999896
1000,881037,17.966,16.228,1.7379999999999995,1.062,0.6759999999999995
1000,881038,18.188,16.738,1.4499999999999993,1.07,0.3799999999999992
1000,881039,17.818,16.794,1.024000000000001,0.976,0.04800000000000093
1000,881040,17.19,16.844,0.3460000000000001,1.098,-0.752
1000,881041,18.11,16.078,2.032,1.056,0.976
1000,881042,17.36,15.956,1.404,0.992,0.4119999999999999
1000,881043,18.352,17.4,0.9520000000000017,1.06,-0.10799999999999832
1000,881044,18.032,17.044,0.9879999999999995,1.036,-0.04800000000000049
10000,890000,17.658,16.7542,0.9038000000000004,0.9928,-0.08899999999999963
10000,890001,17.7344,16.514,1.2204000000000015,1.0212,0.19920000000000138
10000,890002,17.9436,16.6132,1.330400000000001,1.0354,0.2950000000000008
10000,890003,17.5006,16.9094,0.5911999999999971,1.001,-0.40980000000000283
10000,890004,17.8806,16.6386,1.2420000000000009,1.012,0.23000000000000087
10000,890005,17.7522,16.7568,0.9954000000000001,0.998,-0.0025999999999999357
10000,890006,17.6866,16.5396,1.1469999999999985,1.0052,0.14179999999999837
10000,890007,17.4908,16.735,0.7558000000000007,1.0004,-0.24459999999999926
10000,890008,18.023,16.9854,1.0376000000000012,1.0386,-0.0009999999999987796
10000,890009,17.9466,16.999,0.9476000000000013,1.0092,-0.06159999999999877
10000,890010,17.7282,16.8406,0.8876000000000026,1.0038,-0.11619999999999742
10000,890011,17.645,16.5498,1.0951999999999984,1.0232,0.07199999999999829
10000,890012,17.8506,16.6872,1.1633999999999993,1.0236,0.13979999999999926
10000,890013,17.81,16.8042,1.0057999999999971,1.0248,-0.019000000000002792
10000,890014,17.6566,16.5944,1.0622000000000007,1.0056,0.05660000000000065
10000,890015,17.8102,16.7518,1.058399999999999,1.0244,0.03399999999999892
10000,890016,17.999,16.6488,1.3501999999999974,1.0366,0.31359999999999744
10000,890017,17.7228,16.6994,1.0233999999999988,1.0284,-0.005000000000001226
10000,890018,17.7224,16.921,0.801400000000001,1.018,-0.21659999999999902
10000,890019,17.6142,16.6788,0.9354000000000013,1.018,-0.08259999999999867
10000,890020,18.0466,16.7804,1.2662000000000013,1.035,0.2312000000000014
10000,890021,17.5696,16.5506,1.019000000000002,0.9968,0.022200000000001885
10000,890022,17.604,16.712,0.8919999999999995,1.01,-0.11800000000000055
10000,890023,17.4834,16.4362,1.0472000000000001,1.022,0.02520000000000011
10000,890024,18.052,16.871,1.181000000000001,1.034,0.1470000000000009
10000,890025,17.5818,16.675,0.9068000000000005,1.0368,-0.12999999999999945
10000,890026,17.5656,16.551,1.0146000000000015,0.9976,0.01700000000000146
10000,890027,17.7356,16.5864,1.1492000000000004,1.0274,0.12180000000000035
10000,890028,17.704,16.9964,0.7075999999999993,1.0034,-0.29580000000000073
10000,890029,17.457,16.8898,0.5671999999999997,1.0058,-0.4386000000000003
10000,890030,17.7188,16.7128,1.0060000000000002,1.0108,-0.004799999999999693
10000,890031,17.7976,16.716,1.0815999999999981,0.9836,0.09799999999999809
10000,890032,17.7076,16.8112,0.8963999999999999,1.0268,-0.13040000000000007
10000,890033,17.5436,16.7166,0.8270000000000017,0.9936,-0.1665999999999983
10000,890034,17.8878,16.856,1.031799999999997,1.0152,0.01659999999999684
10000,890035,17.975,16.6446,1.330400000000001,1.0394,0.2910000000000008
10000,890036,17.7364,16.8168,0.9195999999999991,1.0124,-0.09280000000000088
