run,causal_uplift,reward_rub,margin_rate,cannibalization,incremental_visits_8w_per_user,incremental_cm_rub_per_user,reward_cost_rub_per_user,net_incremental_cm_rub_per_user
base,0.06,80,0.2,0.15,0.7343999999999999,111.62880000000001,38.4,73.2288
causal_uplift=-0.02,-0.02,80,0.2,0.15,-0.24480000000000002,-37.2096,38.4,-75.6096
causal_uplift=0,0.0,80,0.2,0.15,0.0,0.0,38.4,-38.4
causal_uplift=0.03,0.03,80,0.2,0.15,0.36719999999999997,55.814400000000006,38.4,17.414400000000008
causal_uplift=0.08,0.08,80,0.2,0.15,0.9792000000000001,148.8384,38.4,110.4384
reward_rub=40,0.06,40,0.2,0.15,0.7343999999999999,111.62880000000001,19.2,92.42880000000001
reward_rub=60,0.06,60,0.2,0.15,0.7343999999999999,111.62880000000001,28.799999999999997,82.82880000000002
reward_rub=100,0.06,100,0.2,0.15,0.7343999999999999,111.62880000000001,48.0,63.62880000000001
reward_rub=140,0.06,140,0.2,0.15,0.7343999999999999,111.62880000000001,67.2,44.42880000000001
margin_rate=0.12,0.06,80,0.12,0.15,0.7343999999999999,66.97728,38.4,28.577279999999995
margin_rate=0.16,0.06,80,0.16,0.15,0.7343999999999999,89.30304,38.4,50.90304
margin_rate=0.24,0.06,80,0.24,0.15,0.7343999999999999,133.95456,38.4,95.55455999999998
margin_rate=0.28,0.06,80,0.28,0.15,0.7343999999999999,156.28032000000002,38.4,117.88032000000001
cannibalization=0,0.06,80,0.2,0.0,0.864,131.328,38.4,92.928
cannibalization=0.1,0.06,80,0.2,0.1,0.7776,118.1952,38.4,79.7952
cannibalization=0.3,0.06,80,0.2,0.3,0.6048,91.92960000000001,38.4,53.52960000000001
cannibalization=0.5,0.06,80,0.2,0.5,0.432,65.664,38.4,27.264000000000003
